2026-03-12 19:42:31 | 127.0.0.1 | GET | /checkout | 200 | OK
2026-03-12 19:42:34 | 127.0.0.1 | GET | /checkout | 200 | OK
2026-03-12 19:42:38 | 127.0.0.1 | GET | / | 200 | OK
2026-03-12 19:43:46 | 127.0.0.1 | GET | /about | 200 | OK
2026-03-12 19:43:52 | 127.0.0.1 | GET | /system | 404 | NOT FOUND
2026-03-12 19:46:58 | 127.0.0.1 | GET | /system | 404 | NOT FOUND
2026-03-12 19:57:27 | 127.0.0.1 | GET | /system | 404 | NOT FOUND
2026-03-12 19:57:30 | 127.0.0.1 | GET | /system | 404 | NOT FOUND
2026-03-12 19:57:31 | 127.0.0.1 | GET | /system | 404 | NOT FOUND
2026-03-14 17:10:29 | 127.0.0.1 | GET | / | 200 | OK
2026-03-14 17:10:29 | 127.0.0.1 | GET | /favicon.ico | 404 | NOT FOUND
2026-03-14 17:10:36 | 127.0.0.1 | GET | /settings | 404 | NOT FOUND
2026-03-14 17:12:28 | 127.0.0.1 | GET | /settings | 404 | NOT FOUND
2026-03-14 17:14:27 | 127.0.0.1 | GET | /settings | 404 | NOT FOUND
2026-03-14 17:14:32 | 127.0.0.1 | GET | /about | 200 | OK
2026-03-14 17:14:50 | 127.0.0.1 | GET | /about | 500 | INTERNAL SERVER ERROR
2026-03-14 17:15:16 | 127.0.0.1 | GET | /.well-known/appspecific/com.chrome.devtools.json | 404 | NOT FOUND
2026-03-14 17:17:40 | 127.0.0.1 | GET | /about | 500 | INTERNAL SERVER ERROR
2026-03-14 17:22:23 | 127.0.0.1 | GET | /about | 500 | INTERNAL SERVER ERROR
